x   y   rssi
12  11  -68
6   10  -67
7   10  -64
1   4   -54
1   2   -49
3   4   -53
12  5   -65
11  8   -77
1   6   -65
7   4   -73
2   6   -61
3   5   -56
5   8   -62
8   7   -69
8   4   -66
4   1   -53
6   0   -65
4   12  -69
2   4   -53
9   12  -67
4   7   -59
2   2   -70
10  12  -65
2   11  -69
9   11  -65
5   6   -59
2   8   -66
12  1   -75
10  11  -66
8   3   -58
3   1   -51
11  3   -71
12  0   -65
7   7   -65
12  9   -66
3   10  -65
6   2   -59
12  8   -67
3   0   -73
12  10  -68
10  0   -64
9   2   -56
5   7   -59
2   9   -66
11  7   -67
10  8   -72
1   3   -49
2   3   -52
10  3   -61
9   0   -64
4   11  -68
6   3   -59
10  9   -70
1   11  -71
7   5   -68
8   5   -66
7   12  -69
3   8   -65
5   4   -65
5   1   -62
9   10  -69
12  7   -72
7   9   -66
9   6   -69
4   10  -63
4   8   -63
1   10  -66
6   1   -57
10  4   -67
10  7   -78
6   12  -66
1   8   -68
3   7   -62
2   7   -60
8   9   -67
5   11  -68
7   11  -70
11  11  -65
1   0   -71
12  6   -69
3   12  -70
8   0   -67
1   7   -71
11  0   -63
10  5   -67
6   9   -60
3   3   -60
6   7   -65
9   9   -70
7   6   -65
5   9   -62
8   12  -66
2   1   -50
11  2   -76
4   9   -61
2   10  -69
8   2   -58
12  2   -71
4   3   -67
9   1   -60
11  12  -63
4   4   -59
8   8   -73
9   7   -71
9   4   -59
3   2   -54
4   5   -59
6   11  -68
6   5   -65
5   2   -68
11  6   -69
11  10  -67
8   1   -62
6   6   -67
8   11  -63
3   9   -66
9   5   -70
6   8   -61
12  12  -68
10  10  -67
5   0   -57
7   0   -63
11  4   -70
7   1   -60
1   5   -55
8   10  -68
11  5   -76
5   5   -64
9   3   -58
1   1   -50
5   3   -69
1   9   -69
3   11  -69
4   2   -55
5   12  -73
8   6   -69
2   0   -75
10  2   -59
4   0   -73
7   3   -73
2   5   -58
6   4   -68
7   8   -63
11  9   -71
1   12  -67
12  3   -72
2   12  -73
4   6   -58
3   6   -59
9   8   -67
7   2   -66
12  4   -70
5   10  -65
11  1   -67
10  6   -73
