x   y   rssi
10  0   -65
10  10  -65
10  11  -65
10  12  -64
10  2   -57
10  3   -60
10  4   -69
10  5   -76
10  6   -72
10  7   -76
10  8   -70
10  9   -69
11  0   -69
11  1   -70
11  10  -66
11  11  -63
11  12  -65
11  2   -66
11  3   -68
11  4   -70
11  5   -75
11  6   -76
11  7   -71
11  8   -70
11  9   -67
12  0   -88
12  1   -82
12  10  -66
12  11  -67
12  12  -67
12  2   -75
12  3   -76
12  4   -75
12  5   -70
12  6   -72
12  7   -69
12  8   -75
12  9   -73
1   0   -50
1   1   -55
1   10  -68
1   11  -77
1   12  -76
1   2   -49
1   3   -56
1   4   -57
1   5   -65
1   6   -65
1   7   -67
1   8   -67
1   9   -69
2   0   -50
2   1   -62
2   10  -66
2   11  -69
2   12  -74
2   2   -53
2   3   -58
2   4   -62
2   5   -62
2   6   -69
2   7   -65
2   8   -70
2   9   -66
3   0   -51
3   1   -54
3   10  -67
3   11  -68
3   12  -73
3   2   -63
3   3   -53
3   4   -57
3   5   -62
3   6   -61
3   7   -65
3   8   -64
3   9   -67
4   0   -55
4   1   -63
4   10  -69
4   11  -73
4   12  -69
4   2   -64
4   3   -65
4   4   -58
4   5   -58
4   6   -59
4   7   -65
4   8   -65
4   9   -65
5   0   -57
5   1   -57
5   10  -71
5   11  -66
5   12  -73
5   2   -69
5   3   -65
5   4   -64
5   5   -60
5   6   -65
5   7   -62
5   8   -63
5   9   -67
6   0   -57
6   1   -58
6   10  -69
6   11  -69
6   12  -68
6   2   -62
6   3   -66
6   4   -67
6   5   -65
6   6   -63
6   7   -63
6   8   -65
6   9   -69
7   0   -58
7   1   -61
7   10  -71
7   11  -63
7   12  -67
7   2   -70
7   3   -71
7   4   -71
7   5   -65
7   6   -63
7   7   -64
7   8   -62
7   9   -66
8   0   -70
8   1   -69
8   10  -68
8   11  -67
8   12  -67
8   2   -63
8   3   -71
8   4   -69
8   5   -81
8   6   -68
8   7   -73
8   8   -70
8   9   -68
9   0   -60
9   1   -59
9   10  -70
9   11  -67
9   12  -65
9   2   -60
9   3   -60
9   4   -66
9   5   -70
9   6   -77
9   7   -68
9   8   -70
9   9   -69
