x   y   rssi
12  11  -68
6   10  -69
7   10  -69
1   4   -58
1   2   -49
3   4   -56
12  5   -68
11  8   -73
1   6   -65
7   4   -68
2   6   -61
3   5   -64
5   8   -64
8   7   -65
8   4   -66
4   1   -59
6   0   -57
4   12  -70
2   4   -62
9   12  -69
4   7   -63
2   2   -51
10  12  -64
2   11  -80
9   11  -67
5   6   -63
2   8   -64
12  1   -81
10  11  -65
8   3   -65
3   1   -57
11  3   -70
12  0   -65
7   7   -63
12  9   -68
3   10  -70
6   2   -60
12  8   -67
3   0   -50
12  10  -66
10  0   -61
9   2   -59
5   7   -63
2   9   -67
11  7   -72
10  8   -70
1   3   -56
2   3   -57
10  3   -60
9   0   -59
4   11  -73
6   3   -70
10  9   -66
1   11  -67
7   5   -65
8   5   -68
7   12  -67
3   8   -65
5   4   -62
5   1   -68
9   10  -67
12  7   -69
7   9   -67
9   6   -75
4   10  -69
4   8   -62
1   10  -71
6   1   -58
10  4   -69
10  7   -73
6   12  -68
1   8   -69
3   7   -68
2   7   -65
8   9   -68
5   11  -67
7   11  -68
11  11  -69
1   0   -50
12  6   -69
3   12  -69
8   0   -61
1   7   -68
11  0   -66
10  5   -74
6   9   -65
3   3   -53
6   7   -62
9   9   -73
7   6   -66
5   9   -68
8   12  -68
2   1   -62
11  2   -68
4   9   -65
2   10  -66
8   2   -59
12  2   -75
4   3   -60
9   1   -58
11  12  -69
4   4   -58
8   8   -67
9   7   -69
9   4   -70
3   2   -60
4   5   -59
6   11  -69
6   5   -65
5   2   -66
11  6   -69
11  10  -68
8   1   -63
6   6   -64
8   11  -65
3   9   -68
9   5   -87
6   8   -60
12  12  -69
10  10  -65
5   0   -63
7   0   -62
11  4   -67
7   1   -66
1   5   -64
8   10  -64
11  5   -72
5   5   -59
9   3   -61
1   1   -52
5   3   -65
1   9   -66
3   11  -72
4   2   -71
5   12  -65
8   6   -67
2   0   -48
10  2   -61
4   0   -55
7   3   -77
2   5   -62
6   4   -67
7   8   -66
11  9   -75
1   12  -80
12  3   -73
2   12  -79
4   6   -59
3   6   -61
9   8   -71
7   2   -78
12  4   -74
5   10  -69
11  1   -70
10  6   -73
